source_system,source_db,owner,table_name,table_comment,num_rows_stats,blocks,last_analyzed,tablespace_name,inferred_domain,table_role,include_status,exclude_reason
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ALI_CONT_ALTER_B,,0,0,2022-01-02 14:09:46,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ALI_EXPENSE,,0,0,2022-01-02 14:09:46,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ALI_EXPENSE_B,,0,0,2022-01-02 14:09:46,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ALI_LEASE_IN,,0,0,2022-01-02 14:09:46,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ALI_LEASE_IN_B,,0,0,2022-01-02 14:09:46,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ALI_RENT_CALC,,0,0,2022-01-02 14:09:46,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ALI_RENT_CALC_B,,0,0,2022-01-02 14:09:46,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ALI_RENT_CALC_C,,0,0,2022-01-02 14:09:46,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ALI_RENT_SETTLE,,0,0,2022-01-02 14:09:46,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ALI_RENT_SETTLE_B,,0,0,2022-01-02 14:09:46,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ALI_RESTORE,,0,0,2022-01-02 14:09:46,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ALI_RESTORE_B,,0,0,2022-01-02 14:09:46,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ALI_STOPRENT,,0,0,2022-01-02 14:09:46,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ALI_STOPRENT_B,,0,0,2022-01-02 14:09:46,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ALI_TEMPORARY,,0,0,2022-01-02 14:09:46,NNC_DATA01,人员,excluded,excluded,日志/临时/备份/测试类表，第一版不纳入治理主清单
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ALI_TEMPORARY_B,,0,0,2022-01-02 14:09:46,NNC_DATA01,人员,excluded,excluded,日志/临时/备份/测试类表，第一版不纳入治理主清单
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ALI_TEMP_SETTLE,,0,0,2022-01-02 14:09:46,NNC_DATA01,人员,excluded,excluded,日志/临时/备份/测试类表，第一版不纳入治理主清单
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ALI_TEMP_SETTLE_B,,0,0,2022-01-02 14:09:46,NNC_DATA01,人员,excluded,excluded,日志/临时/备份/测试类表，第一版不纳入治理主清单
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ALI_WORKLOAD,,0,0,2022-01-02 14:09:47,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ALI_WORKLOAD_B,,0,0,2022-01-02 14:09:47,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ALO_CONTRACT,,0,0,2022-01-02 14:09:45,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ALO_CONTRACT_B,,0,0,2022-01-02 14:09:45,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ALO_CONTRACT_E,,0,0,2022-01-02 14:09:45,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ALO_CONTRACT_EQ,,0,0,2022-01-02 14:09:45,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ALO_CONTRACT_EXT,,0,0,2022-01-02 10:06:37,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ALO_CONTRACT_I,,0,0,2022-01-02 14:09:45,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ALO_CONTRACT_P,,0,0,2022-01-02 14:09:45,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ALO_CONT_ALTER,,0,0,2022-01-02 14:09:45,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
