source_system,source_db,owner,table_name,table_comment,num_rows_stats,blocks,last_analyzed,tablespace_name,inferred_domain,table_role,include_status,exclude_reason,column_count_in_current_file,has_primary_key,has_nonunique_index,cleanup_decision,cleanup_reason
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,IUFO_MEASURE_DATA_UT0W19FJ,,23,28,2024-01-10 22:05:53,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选,19,true,false,review_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,IUFO_MEASURE_DATA_UTACDNPR,,35,28,2024-01-10 22:15:50,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选,19,true,false,review_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,IUFO_MEASURE_DATA_UTC16VZL,,35,28,2024-01-10 22:15:54,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选,19,true,false,review_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,IUFO_MEASURE_DATA_UTCPYID8,,35,28,2024-01-10 22:06:55,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选,27,true,false,review_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,IUFO_MEASURE_DATA_UTEBEJEG,,35,28,2024-01-10 22:16:40,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选,19,true,false,review_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,IUFO_MEASURE_DATA_UTGJ6CA9,,23,28,2024-01-10 22:06:09,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选,19,true,false,review_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,IUFO_MEASURE_DATA_UTKXTYWL,,35,28,2024-01-10 22:21:02,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选,19,true,false,review_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,IUFO_MEASURE_DATA_UU065LTG,,21,28,2024-02-01 22:11:00,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选,19,true,false,review_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,IUFO_MEASURE_DATA_UU3JFLX1,,35,28,2024-01-10 22:07:30,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选,19,true,false,review_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,IUFO_MEASURE_DATA_UU4YSRKP,,35,28,2024-01-10 22:11:40,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选,19,true,false,review_candidate,
