review_priority,suggested_action_code,source_bucket,owner,table_name,num_rows_stats,inferred_domain,column_count_in_current_file,has_primary_key,dependency_count,review_reason,cleanup_reason,manual_decision,manual_note
P1,REVIEW_INCLUDE,review,HRPSEY656,FA_CAPITALSOURCEHISTORY,1273680,其他,14,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,ARAP_TERMITEM,1257411,其他,33,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,ARAP_BUSIDATA,1247960,其他,103,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,ARAP_TALLY_ALL,1247763,其他,74,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,SN_SERIALNO,967258,其他,78,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,IC_MONTH_RECORD,842413,其他,50,false,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,PUB_WF_ACTINSTANCESRC,797803,其他,5,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,IA_MONTHNAB,771392,其他,19,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,IC_GENERALOUT_L,764995,其他,19,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,PUB_WF_TXMARK,740117,其他,3,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,PUB_ALERTSEQUENCE,729192,其他,7,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,IC_GENERALIN_L,723323,其他,19,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,FA_FUNDSDEP,713609,其他,25,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,ARAP_VERIFYDETAIL,704192,其他,57,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,SN_SERIALNO20250909,692814,其他,78,false,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,IC_PURCHASEIN_L,684902,其他,19,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,BD_ANSYLOG,682708,其他,9,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,PUB_WF_INSTANCE,674479,其他,18,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,FA_DEPGATHERSHEET,612046,其他,32,false,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,IA_MONTHIN,598056,其他,83,false,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,IC_VMI_MATCHDETAIL,597127,其他,11,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,IC_VMI_SUM,591747,其他,69,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,IA_MONTHOUT,583701,其他,83,false,0,??????????,,,
