owner,table_name,constraint_name,constraint_type,column_name,ref_owner,ref_table_name,ref_column_name
HRPSEY656,AE_OLAP_MEA,SYS_C0010828,C,MEASUREID,,,
HRPSEY656,AE_OLAP_MEA,SYS_C0010829,C,PK_CUBE,,,
HRPSEY656,AE_OLAP_MEA,SYS_C0010830,C,PK_MEASURE,,,
HRPSEY656,AE_OLAP_MEAP,PK_AE_OLAP_MEASP,P,PK_PROP,,,
HRPSEY656,AE_OLAP_MEAP,SYS_C0010831,C,PK_MEASURE,,,
HRPSEY656,AE_OLAP_MEAP,SYS_C0010832,C,PK_PROP,,,
HRPSEY656,AE_OLAP_MEAP,SYS_C0010833,C,PROPID,,,
HRPSEY656,AE_OLAP_PARAM,PK_AE_OLAP_PARAM,P,PK_PARAM,,,
HRPSEY656,AE_OLAP_PARAM,SYS_C0010834,C,PARAMID,,,
HRPSEY656,AE_OLAP_PARAM,SYS_C0010835,C,PK_PARAM,,,
HRPSEY656,AE_OLAP_PARAM,SYS_C0010836,C,PK_SCHEMA,,,
HRPSEY656,AE_OLAP_RLN,PK_AE_OLAP_REL,P,PK_RELATION,,,
HRPSEY656,AE_OLAP_RLN,SYS_C0010837,C,PK_MODEL,,,
HRPSEY656,AE_OLAP_RLN,SYS_C0010838,C,PK_RELATION,,,
HRPSEY656,AE_OLAP_RLN,SYS_C0010839,C,RELATIONID,,,
HRPSEY656,AE_OLAP_RLN,SYS_C0010840,C,RELATIONPROP,,,
HRPSEY656,AE_QUALITYCHECK,PK_AE_QUALITYCHECK,P,PK_DEF,,,
HRPSEY656,AE_QUALITYCHECK,SYS_C0023658,C,PK_DEF,,,
HRPSEY656,AE_RELATION,PK_AE_RELATION,P,PK_ASSOCIATION,,,
HRPSEY656,AE_RELATION,SYS_C0010854,C,PK_ASSOCIATION,,,
HRPSEY656,AE_RELATION_DI,PK_AE_RELATION_DI,P,PK_ASSOCIATION,,,
HRPSEY656,AE_RELATION_DI,SYS_C0010855,C,PK_ASSOCIATION,,,
HRPSEY656,AE_RELATION_DIM,PK_AE_RELATION_DIM,P,PK_ASSOCIATION,,,
HRPSEY656,AE_RELATION_DIM,SYS_C0010856,C,PK_ASSOCIATION,,,
HRPSEY656,AE_RELATION_SMT,PK_AE_RELATION_SMT,P,PK_ASSOCIATION,,,
HRPSEY656,AE_RELATION_SMT,SYS_C0010857,C,PK_ASSOCIATION,,,
HRPSEY656,ALI_CONTRACT,PK_ALI_CONTRACT,P,PK_CONTRACT,,,
HRPSEY656,ALI_CONTRACT,SYS_C0017098,C,PK_CONTRACT,,,
HRPSEY656,ALI_CONTRACT_B,PK_ALI_CONTRACT_B,P,PK_CONTRACT_B,,,
HRPSEY656,ALI_CONTRACT_B,SYS_C0017099,C,PK_CONTRACT,,,
HRPSEY656,ALI_CONTRACT_B,SYS_C0017100,C,PK_CONTRACT_B,,,
HRPSEY656,ALI_CONTRACT_EQ,PK_ALI_CONTRACT_EQ,P,PK_CONTRACT_EQ,,,
HRPSEY656,ALI_CONTRACT_EQ,SYS_C0017101,C,PK_CONTRACT,,,
HRPSEY656,ALI_CONTRACT_EQ,SYS_C0017102,C,PK_CONTRACT_EQ,,,
HRPSEY656,ALI_CONTRACT_EX,PK_ALI_CONTRACT_EX,P,PK_CONTRACT_E,,,
HRPSEY656,ALI_CONTRACT_EX,SYS_C0017103,C,PK_CONTRACT,,,
HRPSEY656,ALI_CONTRACT_EX,SYS_C0017104,C,PK_CONTRACT_E,,,
HRPSEY656,ALI_CONTRACT_EXT,PK_LI_CONTRACT_EXT,P,PK_CONTRACTIN_EXT,,,
HRPSEY656,ALI_CONTRACT_EXT,SYS_C0017105,C,PK_CONTRACTIN_EXT,,,
HRPSEY656,ALI_CONTRACT_I,PK_ALI_CONTRACT_I,P,PK_CONTRACT_I,,,
HRPSEY656,ALI_CONTRACT_I,SYS_C0017106,C,PK_CONTRACT,,,
HRPSEY656,ALI_CONTRACT_I,SYS_C0017107,C,PK_CONTRACT_I,,,
HRPSEY656,ALI_CONTRACT_P,PK_ALI_CONTRACT_P,P,PK_WARCONTRACT_P,,,
HRPSEY656,ALI_CONTRACT_P,SYS_C0017108,C,PK_CONTRACT,,,
HRPSEY656,ALI_CONTRACT_P,SYS_C0017109,C,PK_WARCONTRACT_P,,,
HRPSEY656,ALI_CONT_ALTER,PK_ALI_CONT_ALTER,P,PK_CONTALTER,,,
HRPSEY656,ALI_CONT_ALTER,SYS_C0017095,C,PK_CONTALTER,,,
HRPSEY656,ALI_CONT_ALTER_B,PK_LI_CONT_ALTER_B,P,PK_CONTALTER_B,,,
HRPSEY656,ALI_CONT_ALTER_B,SYS_C0017096,C,PK_CONTALTER,,,
HRPSEY656,ALI_CONT_ALTER_B,SYS_C0017097,C,PK_CONTALTER_B,,,
HRPSEY656,ALI_EXPENSE,PK_ALI_EXPENSE,P,PK_EXPENSE,,,
HRPSEY656,ALI_EXPENSE,SYS_C0017110,C,PK_EXPENSE,,,
HRPSEY656,ALI_EXPENSE_B,PK_ALI_EXPENSE_B,P,PK_EXPENSE_B,,,
HRPSEY656,ALI_EXPENSE_B,SYS_C0017111,C,PK_EXPENSE,,,
HRPSEY656,ALI_EXPENSE_B,SYS_C0017112,C,PK_EXPENSE_B,,,
HRPSEY656,ALI_LEASE_IN,PK_ALI_LEASE_IN,P,PK_LEASE_IN,,,
HRPSEY656,ALI_LEASE_IN,SYS_C0017113,C,PK_LEASE_IN,,,
HRPSEY656,ALI_LEASE_IN_B,PK_ALI_LEASE_IN_B,P,PK_LEASE_IN_B,,,
HRPSEY656,ALI_LEASE_IN_B,SYS_C0017114,C,PK_LEASE_IN,,,
HRPSEY656,ALI_LEASE_IN_B,SYS_C0017115,C,PK_LEASE_IN_B,,,
HRPSEY656,ALI_RENT_CALC,PK_ALI_RENT_CALC,P,PK_RENT_CALC,,,
HRPSEY656,ALI_RENT_CALC,SYS_C0017116,C,PK_RENT_CALC,,,
HRPSEY656,ALI_RENT_CALC_B,PK_ALI_RENT_CALC_B,P,PK_RENT_CALC_B,,,
HRPSEY656,ALI_RENT_CALC_B,SYS_C0017117,C,PK_RENT_CALC,,,
HRPSEY656,ALI_RENT_CALC_B,SYS_C0017118,C,PK_RENT_CALC_B,,,
HRPSEY656,ALI_RENT_CALC_C,PK_ALI_RENT_CALC_C,P,PK_RENT_CALC_C,,,
HRPSEY656,ALI_RENT_CALC_C,SYS_C0017119,C,PK_RENT_CALC,,,
HRPSEY656,ALI_RENT_CALC_C,SYS_C0017120,C,PK_RENT_CALC_C,,,
HRPSEY656,ALI_RENT_SETTLE,PK_ALI_RENT_SETTLE,P,PK_RENTSETTLE,,,
HRPSEY656,ALI_RENT_SETTLE,SYS_C0017121,C,PK_RENTSETTLE,,,
HRPSEY656,ALI_RENT_SETTLE_B,PK_I_RENT_SETTLE_B,P,PK_RENTSETTLE_B,,,
HRPSEY656,ALI_RENT_SETTLE_B,SYS_C0017122,C,PK_RENTSETTLE,,,
HRPSEY656,ALI_RENT_SETTLE_B,SYS_C0017123,C,PK_RENTSETTLE_B,,,
HRPSEY656,ALI_RESTORE,PK_ALI_RESTORE,P,PK_LEASEIN_RESTORE,,,
HRPSEY656,ALI_RESTORE,SYS_C0017124,C,PK_LEASEIN_RESTORE,,,
HRPSEY656,ALI_RESTORE_B,PK_ALI_RESTORE_B,P,PK_LEASEIN_RESTORE_B,,,
HRPSEY656,ALI_RESTORE_B,SYS_C0017125,C,PK_LEASEIN_RESTORE,,,
HRPSEY656,ALI_RESTORE_B,SYS_C0017126,C,PK_LEASEIN_RESTORE_B,,,
HRPSEY656,ALI_STOPRENT,PK_ALI_STOPRENT,P,PK_STOPRENT,,,
HRPSEY656,ALI_STOPRENT,SYS_C0017127,C,PK_STOPRENT,,,
HRPSEY656,ALI_STOPRENT_B,PK_ALI_STOPRENT_B,P,PK_STOPRENT_B,,,
HRPSEY656,ALI_STOPRENT_B,SYS_C0017128,C,PK_STOPRENT,,,
HRPSEY656,ALI_STOPRENT_B,SYS_C0017129,C,PK_STOPRENT_B,,,
HRPSEY656,ALI_TEMPORARY,PK_ALI_TEMPORARY,P,PK_LEASEIN,,,
HRPSEY656,ALI_TEMPORARY,SYS_C0017133,C,PK_LEASEIN,,,
HRPSEY656,ALI_TEMPORARY_B,PK_ALI_TEMPORARY_B,P,PK_LEASEIN_B,,,
HRPSEY656,ALI_TEMPORARY_B,SYS_C0017134,C,PK_LEASEIN,,,
HRPSEY656,ALI_TEMPORARY_B,SYS_C0017135,C,PK_LEASEIN_B,,,
HRPSEY656,ALI_TEMP_SETTLE,PK_ALI_TEMP_SETTLE,P,PK_SETTLE,,,
HRPSEY656,ALI_TEMP_SETTLE,SYS_C0017130,C,PK_SETTLE,,,
HRPSEY656,ALI_TEMP_SETTLE_B,PK_I_TEMP_SETTLE_B,P,PK_SETTLE_B,,,
HRPSEY656,ALI_TEMP_SETTLE_B,SYS_C0017131,C,PK_SETTLE,,,
HRPSEY656,ALI_TEMP_SETTLE_B,SYS_C0017132,C,PK_SETTLE_B,,,
HRPSEY656,ALI_WORKLOAD,PK_ALI_WORKLOAD,P,PK_WORKLOAD,,,
HRPSEY656,ALI_WORKLOAD,SYS_C0017136,C,PK_WORKLOAD,,,
HRPSEY656,ALI_WORKLOAD_B,PK_ALI_WORKLOAD_B,P,PK_WORKLOAD_B,,,
HRPSEY656,ALI_WORKLOAD_B,SYS_C0017137,C,PK_WORKLOAD,,,
HRPSEY656,ALI_WORKLOAD_B,SYS_C0017138,C,PK_WORKLOAD_B,,,
HRPSEY656,ALO_CONTRACT,PK_ALO_CONTRACT,P,PK_CONTRACT,,,
HRPSEY656,ALO_CONTRACT,SYS_C0017060,C,PK_CONTRACT,,,
HRPSEY656,ALO_CONTRACT_B,PK_ALO_CONTRACT_B,P,PK_CONTRACT_B,,,
HRPSEY656,ALO_CONTRACT_B,SYS_C0017061,C,PK_CONTRACT,,,
HRPSEY656,ALO_CONTRACT_B,SYS_C0017062,C,PK_CONTRACT_B,,,
HRPSEY656,ALO_CONTRACT_E,PK_ALO_CONTRACT_E,P,PK_CONTRACT_E,,,
HRPSEY656,ALO_CONTRACT_E,SYS_C0017063,C,PK_CONTRACT,,,
HRPSEY656,ALO_CONTRACT_E,SYS_C0017064,C,PK_CONTRACT_E,,,
HRPSEY656,ALO_CONTRACT_EQ,PK_ALO_CONTRACT_EQ,P,PK_CONTRACT_D,,,
HRPSEY656,ALO_CONTRACT_EQ,SYS_C0017065,C,PK_CONTRACT,,,
HRPSEY656,ALO_CONTRACT_EQ,SYS_C0017066,C,PK_CONTRACT_D,,,
HRPSEY656,ALO_CONTRACT_EXT,PK_LO_CONTRACT_EXT,P,PK_CONTRACT_EXT,,,
HRPSEY656,ALO_CONTRACT_EXT,SYS_C0017067,C,PK_CONTRACT_EXT,,,
HRPSEY656,ALO_CONTRACT_I,PK_ALO_CONTRACT_I,P,PK_CONTRACT_I,,,
HRPSEY656,ALO_CONTRACT_I,SYS_C0017068,C,PK_CONTRACT,,,
HRPSEY656,ALO_CONTRACT_I,SYS_C0017069,C,PK_CONTRACT_I,,,
HRPSEY656,ALO_CONTRACT_P,PK_ALO_CONTRACT_P,P,PK_WARCONTRACT_P,,,
HRPSEY656,ALO_CONTRACT_P,SYS_C0017070,C,PK_CONTRACT,,,
HRPSEY656,ALO_CONTRACT_P,SYS_C0017071,C,PK_WARCONTRACT_P,,,
HRPSEY656,ALO_CONT_ALTER,PK_ALO_CONT_ALTER,P,PK_CONTALTER,,,
HRPSEY656,ALO_CONT_ALTER,SYS_C0017057,C,PK_CONTALTER,,,
HRPSEY656,ALO_CONT_ALTER_B,PK_LO_CONT_ALTER_B,P,PK_CONTALTER_B,,,
HRPSEY656,ALO_CONT_ALTER_B,SYS_C0017058,C,PK_CONTALTER,,,
HRPSEY656,ALO_CONT_ALTER_B,SYS_C0017059,C,PK_CONTALTER_B,,,
HRPSEY656,ALO_EXPENSE,PK_ALO_EXPENSE,P,PK_EXPENSE,,,
HRPSEY656,ALO_EXPENSE,SYS_C0017072,C,PK_EXPENSE,,,
HRPSEY656,ALO_EXPENSE_B,PK_ALO_EXPENSE_B,P,PK_EXPENSE_B,,,
HRPSEY656,ALO_EXPENSE_B,SYS_C0017073,C,PK_EXPENSE,,,
