owner,table_name,index_name,uniqueness,column_name,column_position
HRPSEY656,ALO_EXPENSE,PK_ALO_EXPENSE,UNIQUE,PK_EXPENSE,1
HRPSEY656,ALO_EXPENSE_B,I_ALO_EXPENSE_B_1,NONUNIQUE,PK_EXPENSE,1
HRPSEY656,ALO_EXPENSE_B,I_ALO_EXPENSE_B_2,NONUNIQUE,PK_EQUIP,1
HRPSEY656,ALO_EXPENSE_B,I_ALO_EXPENSE_B_3,NONUNIQUE,SRC_PK_BILL,1
HRPSEY656,ALO_EXPENSE_B,PK_ALO_EXPENSE_B,UNIQUE,PK_EXPENSE_B,1
HRPSEY656,ALO_LEASE_OUT,I_ALO_LEASE_OUT_1,NONUNIQUE,PK_ORG,1
HRPSEY656,ALO_LEASE_OUT,I_ALO_LEASE_OUT_1,NONUNIQUE,BILLMAKETIME,2
HRPSEY656,ALO_LEASE_OUT,I_ALO_LEASE_OUT_2,NONUNIQUE,BILL_CODE,1
HRPSEY656,ALO_LEASE_OUT,PK_ALO_LEASE_OUT,UNIQUE,PK_LEASE_OUT,1
HRPSEY656,ALO_LEASE_OUT_B,I_ALO_LEASE_OUT_B_1,NONUNIQUE,PK_LEASE_OUT,1
HRPSEY656,ALO_LEASE_OUT_B,I_ALO_LEASE_OUT_B_2,NONUNIQUE,SRC_PK_BILL,1
HRPSEY656,ALO_LEASE_OUT_B,I_ALO_LEASE_OUT_B_3,NONUNIQUE,PK_EQUIP,1
HRPSEY656,ALO_LEASE_OUT_B,I_ALO_LEASE_OUT_B_4,NONUNIQUE,SRC_PK_BILL_B_OID,1
HRPSEY656,ALO_LEASE_OUT_B,I_ALO_LEASE_OUT_B_5,NONUNIQUE,START_DATE,1
HRPSEY656,ALO_LEASE_OUT_B,I_ALO_LEASE_OUT_B_6,NONUNIQUE,SRC_BILL_TYPE,1
HRPSEY656,ALO_LEASE_OUT_B,PK_ALO_LEASE_OUT_B,UNIQUE,PK_LEASE_OUT_B,1
HRPSEY656,ALO_RENT_CALC,I_ALO_RENT_CALC_1,NONUNIQUE,PK_ORG,1
HRPSEY656,ALO_RENT_CALC,I_ALO_RENT_CALC_1,NONUNIQUE,BILLMAKETIME,2
HRPSEY656,ALO_RENT_CALC,I_ALO_RENT_CALC_2,NONUNIQUE,BILL_CODE,1
HRPSEY656,ALO_RENT_CALC,PK_ALO_RENT_CALC,UNIQUE,PK_RENT_CALC,1
HRPSEY656,ALO_RENT_CALC_B,I_ALO_RENT_CALC_B_1,NONUNIQUE,PK_RENT_CALC,1
HRPSEY656,ALO_RENT_CALC_B,I_ALO_RENT_CALC_B_2,NONUNIQUE,PK_EQUIP,1
HRPSEY656,ALO_RENT_CALC_B,I_ALO_RENT_CALC_B_3,NONUNIQUE,LAST_RENT_DATE,1
HRPSEY656,ALO_RENT_CALC_B,PK_ALO_RENT_CALC_B,UNIQUE,PK_RENT_CALC_B,1
HRPSEY656,ALO_RENT_CALC_C,PK_ALO_RENT_CALC_C,UNIQUE,PK_RENT_CALC_C,1
