source_system,source_db,owner,table_name,num_rows_stats,inferred_domain,cleanup_decision,column_count_in_current_file,pii_like_columns,semantic_summary,recommendation,reason
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_14QAL_1900,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;金额:8;时间:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_14Z3E_1723,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;时间:8;金额:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_17Q6N_0942,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;时间:8;金额:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_1802S_1648,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;时间:8;金额:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_181ZX_0825,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;时间:8;金额:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_18581_1430,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;金额:8;时间:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_19SF2_1442,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;金额:8;时间:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_1CFII_1857,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;金额:8;时间:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_1CGZG_0942,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;时间:8;金额:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_1CKU2_1543,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;时间:8;金额:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_1DPAR_1857,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;金额:8;时间:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_1DZPQ_1113,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;时间:8;金额:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_1EMBY_1442,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;金额:8;时间:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_1EXHG_1012,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;时间:8;金额:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_1JMFA_0944,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;时间:8;金额:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_1MI63_1253,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;时间:8;金额:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_1ORCU_1404,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;金额:8;时间:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_1P79N_1522,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;金额:8;时间:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_1P7CY_0941,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;时间:8;金额:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_1PJND_0921,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;时间:8;金额:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_1TMW7_1501,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;金额:8;时间:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_1UTKI_1536,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;时间:8;金额:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_1VQRY_0901,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;时间:8;金额:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_1XTER_1031,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;时间:8;金额:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_20KV6_1541,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;时间:8;金额:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_21JMQ_1423,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;时间:8;金额:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_21TT5_0802,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;时间:8;金额:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
