source_system,source_db,owner,table_name,table_comment,num_rows_stats,blocks,last_analyzed,tablespace_name,inferred_domain,table_role,include_status,exclude_reason,column_count_in_current_file,has_primary_key,has_nonunique_index,cleanup_decision,cleanup_reason
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ORG_ASSETORG_V,,1,28,2025-09-17 22:19:04,NNC_DATA01,科室/组织,dimension,included,,53,true,true,core_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ORG_ASSETSTATSTRU,,0,0,2022-01-02 10:05:42,NNC_DATA01,科室/组织,dimension,included,,26,false,false,core_candidate,NUM_ROWS=0
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ORG_ASSMEMBER,,0,0,2022-01-02 10:05:42,NNC_DATA01,科室/组织,dimension,included,,14,false,false,core_candidate,NUM_ROWS=0
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ORG_ASSOCIATEATTR,,17,5,2022-12-27 22:01:45,NNC_DATA01,科室/组织,dimension,included,,12,true,false,core_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ORG_ASSOCIATEDEF,,7,5,2023-01-28 18:03:09,NNC_DATA01,科室/组织,dimension,included,,15,true,false,core_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ORG_ASSOCIATEENT,,10,5,2023-01-28 18:03:10,NNC_DATA01,科室/组织,dimension,included,,15,true,false,core_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ORG_ASSOCIATERULE,,18,5,2022-12-27 22:01:46,NNC_DATA01,科室/组织,dimension,included,,23,true,false,core_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ORG_AUTHTAXCATE,,0,0,2022-01-02 14:09:01,NNC_DATA01,科室/组织,dimension,included,,6,true,false,core_candidate,NUM_ROWS=0
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ORG_BCSMEMBER,,0,0,2022-01-02 14:09:01,NNC_DATA01,科室/组织,dimension,included,,29,true,false,core_candidate,NUM_ROWS=0
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ORG_BCSMEMBER_V,,0,0,2022-01-02 14:09:01,NNC_DATA01,科室/组织,dimension,included,,22,true,false,core_candidate,NUM_ROWS=0
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ORG_BOOKCOMBINESTRU,,0,0,2022-01-02 14:09:01,NNC_DATA01,科室/组织,dimension,included,,37,true,false,core_candidate,NUM_ROWS=0
