source_system,source_db,owner,view_name,text_length,referenced_count,referenced_objects,view_role
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,VIEW_QGDXMJE,122,1,PO_PRAYBILL_B,review_view
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,VIEW_QGDXMJE1,311,3,BD_DEFDOC;BD_PROJECT;PO_PRAYBILL_B,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,VIEW_YSJE,607,5,BD_DEFDOC;BD_PROJECT;BM_BUDGETCENTERDEPT;BM_CENTERDEPTMAKE;BM_CENTERDEPTMAKE_B,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,V_HRP_SN_SFXM,709,5,BD_MATERIAL;BD_MATERIALSTOCK;IC_ONHANDDIM;IC_ONHANDNUM;IC_ONHANDSN,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,V_IC_ONHANDNUM,224,2,IC_ONHANDDIM;IC_ONHANDNUM,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,V_LYYY_MATERIALPRICETOHIS,636,4,BD_DEFDOC;BD_MARBASCLASS;BD_MATERIAL;BD_MEASDOC,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,V_LYYY_SCSTOHIS,208,2,BD_DEFDOC;BD_SUPPLIER,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,V_PO_INVOICE,1184,1,PO_INVOICE,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,V_SEY_MATERIALINFOTOHIS,1097,4,BD_DEFDOC;BD_MARBASCLASS;BD_MATERIAL;BD_MEASDOC,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,V_SEY_SCSTOHIS,208,2,BD_DEFDOC;BD_SUPPLIER,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,V_SM_USER,557,1,SM_USER,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,V_SN_SFXM,68,1,V_HRP_SN_SFXM,review_view
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,WL_JBXX,1487,6,BD_DEFDOC;BD_MARBASCLASS;BD_MATERIAL;BD_MATERIALSTOCK;BD_MEASDOC;BD_SUPPLIER,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,WL_JBXX_HYK,1529,6,BD_DEFDOC;BD_MARBASCLASS;BD_MATERIAL;BD_MATERIALSTOCK;BD_MEASDOC;BD_SUPPLIER,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,WZ_CK_MXJL,1127,7,BD_DEFDOC;BD_MARBASCLASS;BD_MATERIAL;BD_MEASDOC;IC_MATERIAL_B;IC_MATERIAL_H;ORG_ADMINORG,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,WZ_CK_ZJL,1727,8,BD_BILLTYPE;BD_PSNDOC;BD_STORDOC;IC_MATERIAL_B;IC_MATERIAL_H;ORG_ADMINORG;ORG_DEPT;SM_USER,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,WZ_KC,2002,9,BD_DEFDOC;BD_MARBASCLASS;BD_MATERIAL;BD_MEASDOC;BD_STORDOC;IC_ONHANDDIM;IC_ONHANDNUM;ORG_ADMINORG;SCM_BATCHCODE,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,WZ_QTRK_MXJL_JYK,1440,9,BD_DEFDOC;BD_MARBASCLASS;BD_MATERIAL;BD_MEASDOC;BD_STORDOC;BD_SUPPLIER;IC_GENERALIN_B;IC_GENERALIN_H;SM_USER,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,WZ_RK_MXJL,1126,7,BD_DEFDOC;BD_MARBASCLASS;BD_MATERIAL;BD_MEASDOC;IC_PURCHASEIN_B;IC_PURCHASEIN_H;ORG_ADMINORG,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,WZ_RK_ZJL,1777,8,BD_BILLTYPE;BD_PSNDOC;BD_STORDOC;BD_SUPPLIER;IC_PURCHASEIN_B;IC_PURCHASEIN_H;ORG_ADMINORG;SM_USER,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,YL_GZHCSYJL,2169,8,BD_DEFDOC;BD_MARBASCLASS;BD_MATERIAL;BD_MEASDOC;BD_SUPPLIER;IC_MATERIAL_B;IC_MATERIAL_H;SM_USER,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ZC_DJKP,1068,5,BD_PSNDOC;FA_CARD;MD_ENUMVALUE;ORG_DEPT;PAM_ADDREDUCESTYLE,relationship_seed
