review_priority,suggested_action_code,owner,table_name,table_comment,num_rows_stats,inferred_domain_refined,column_count_in_current_file,has_primary_key,dependency_count,low_row_decision,low_row_reason
P1,REVIEW_INCLUDE,HRPSEY656,UW_TEMPLATE,,13,人员,0,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,BD_PSNIDTYPE,,8,人员,24,true,0,keep,少行维度/分类根表
P1,REVIEW_INCLUDE,HRPSEY656,HI_PSNDOC_YEAREXAMINE,,5,人员,15,true,0,keep,人员档案子表(NC固定结构)
P1,REVIEW_INCLUDE,HRPSEY656,OAFF_TRADETEMPTYPE,,4,人员,10,true,0,keep,少行维度/分类根表
P1,REVIEW_INCLUDE,HRPSEY656,HI_PSNDOC_NATIONDUTY,,2,人员,43,true,0,keep,人员档案子表(NC固定结构)
P1,REVIEW_INCLUDE,HRPSEY656,BD_MARORG,,102407,科室/组织,8,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,COPRO_DEPTCOSTFLOW,,66588,科室/组织,27,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,COPRO_DEPTCOST_B,,29140,科室/组织,34,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,SM_SUBJECT_ORG,,24637,科室/组织,10,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,DC_DEPTCOST_B,,5994,科室/组织,35,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,ORG_CLOSEACC,,5279,科室/组织,36,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,BD_SUPORG,,1682,科室/组织,8,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,BM_BUDGETRECORDSDEPT,,976,科室/组织,11,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,HPF_DEPT,,526,科室/组织,56,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,CP_ORGS,,337,科室/组织,90,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,ORG_REPORTORG,,328,科室/组织,72,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,ORG_REPORTORG_V,,328,科室/组织,72,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,HR_RELATION_DEPT,,321,科室/组织,44,true,0,not_applied,
