schema,table,domain,classify_reason,referenced_by_ods_view_count,referenced_by_ods_views,row_count_stats,column_count,comment
HIS,作业疗法每日支付不超过1次,未分类,no_rule,0,,0,65,
HIS,日常生活能力评定一个疾病过程,未分类,no_rule,0,,0,65,
HIS,咽鼓管压力测定,未分类,no_rule,0,,0,67,
HIS,稳态诱听,未分类,no_rule,0,,0,67,
HIS,经同一切口进行的两种不同疾病,未分类,no_rule,0,,0,65,
HIS,同一手术两个切口,未分类,no_rule,0,,0,65,
HIS,PUB_DICTIONARY,字典,name_pattern:DICT/CODE/MAP,0,,6318,31,数据字典
HIS,MR_AREA_DICT,字典,name_pattern:DICT/CODE/MAP,0,,2990,6,病人来源字典
HIS,WAED_ADT_DAY,未分类,no_rule,0,,98291,25,护理伤病员流动日统计记录
HIS,DEPT_ADT_DAY,科室/组织,name_pattern:DEPT/WARD/BED/ROOM,0,,433053,24,科室伤病员流动日统计记录
HIS,INP_BILL_DETAIL,住院费用,curated_exact,7,KFY_DETAIL|PL_SFXMMX|V_BI_ZYYZJE|V_EMR_CONSUMABLES|V_EMR_IN_FEE_INFO_CHILD|V_ESBHL_HIGH_VALUE_ROD|V_ESBHL_TRE_ROD,215721688,74,住院病人费用明细记录
HIS,DEPT_VS_WARD,医嘱,ods_view_context:ORDER/DOC_ORDER/ZYYZ,3,CDR_HOSPITAL|CDR_HOSPITAL_ORDER|V_DEPTWARD,184,2,临床科室与病房（区）对照
HIS,WARD_TRANSFER,医嘱,ods_view_context:ORDER/DOC_ORDER/ZYYZ,1,CDR_HOSPITAL_ORDER,253805,16,病人在科记录
HIS,MR_COMM_VS_HIS_COMM,未分类,no_rule,0,,82,5,2011版病案首页国家基础数据与HIS对照字典
HIS,ORDERS,医嘱,curated_exact,10,INP_INFO114|JC_DETAIL|JY_DETAIL|KFY_DETAIL|V_BI_ZYYZ|V_EMR_ADMISSION_DEAD_RECORD_TF|V_EMR_DOC_ORDER_CHECK|V_EMR_DOC_ORDER_DRUG|V_ESBHL_OUTPUT_DOCADVICE|YS_TEST1_ADV,41033865,88,医嘱
HIS,OUTP_MR_DIAG_DESC,诊断,ods_view_context:DIAG/DIAGNOSIS,4,CDR_APPLY|V_EMR_OUTPATIENT_DIAG|V_EMR_OUTPATIENT_DIAG_BAK|V_EMR_OUTPATIENT_RECORD,3135738,13,门诊病历诊断记录
HIS,NATION_DICT,病案首页,ods_view_context:V_EMR_ICH/INPUT_CASE_FIRP,3,CDR_MEDICAL|CDR_PATIENT_INFO|V_ESBHL_INPUT_CASE_FIRP,58,9,民族字典
HIS,EXAM_MASTER,检查,curated_exact,5,CDR_CHECK_REPORT_XD|TJZRBL|V_BI_ZYJCSQ|V_EMR_ADMISSION_RECORD_EXAM|V_ESBHL_CHECK_ROD,3385322,58,检查主记录 
HIS,OPS_TREAT_NARCOTISM,未分类,no_rule,0,,577,12,门诊手术处置麻醉信息
HIS,NEWBORN_REC,未分类,no_rule,0,,8603,75,
