table_pair,left_table,right_table,view_count,edge_count,field_pairs,in_formal_relationships,views
MTL.EPR_INPATIENT <-> MTL.EPR_INPATIENT_DOCINDEX,MTL.EPR_INPATIENT,MTL.EPR_INPATIENT_DOCINDEX,21,21,UHID=UHID,Y,EMR_HOS_CHANGE_MAJOR_RECORD|TJZRBL|V_EMR_ADMISSION_DEAD_RECORD_TF|V_EMR_ADMISSION_RECORD|V_EMR_DEATH_RECORD|V_EMR_DISCHARGE_RECORD|V_EMR_HOS_CHANGE_MAJOR_RECORD|V_EMR_HOS_DIFFIC_CASE_DISCUSS|V_EMR_HOS_DND_RECORD|V_EMR_HOS_POSTOPER_RECORD|V_EMR_HOS_PREOP_DISCUSS|V_EMR_HOS_SAVE_RECORD|V_EMR_HOS_SUCCESSION_RECORD|V_EMR_INFOR_CRITICALLY_ILL|V_EMR_INFOR_OPERATION|V_EMR_INFOR_OTHERS|V_EMR_INFOR_SPEC_EXAM_TREAT|V_EMR_MEDICAL_RECORD_INFO|V_EMR_OPERA_RECORD|V_ESBHL_INPUT_ROD|V_ESBHL_OPER_ROD
HIS.PAT_VISIT <-> MTL.EPR_INPATIENT_DOCINDEX,HIS.PAT_VISIT,MTL.EPR_INPATIENT_DOCINDEX,19,22,ATTENDING_DOCTOR=EMP_NO|DOCTOR_IN_CHARGE=EMP_NO|PATIENT_ID=P_CLINIC_ID|P_INPATIENT_TIMES=VISIT_ID|VISIT_ID=P_INPATIENT_TIMES,Y,EMR_HOS_CHANGE_MAJOR_RECORD|V_EMR_ADMISSION_DEAD_RECORD_TF|V_EMR_ADMISSION_RECORD|V_EMR_DISCHARGE_RECORD|V_EMR_HOS_CHANGE_MAJOR_RECORD|V_EMR_HOS_DIFFIC_CASE_DISCUSS|V_EMR_HOS_DND_RECORD|V_EMR_HOS_POSTOPER_RECORD|V_EMR_HOS_PREOP_DISCUSS|V_EMR_HOS_SAVE_RECORD|V_EMR_HOS_SUCCESSION_RECORD|V_EMR_INFOR_CRITICALLY_ILL|V_EMR_INFOR_OPERATION|V_EMR_INFOR_OTHERS|V_EMR_INFOR_SPEC_EXAM_TREAT|V_EMR_MEDICAL_RECORD_INFO|V_EMR_OPERA_RECORD|V_ESBHL_INPUT_ROD|V_ESBHL_OPER_ROD
HIS.PAT_MASTER_INDEX <-> MTL.EPR_INPATIENT_DOCINDEX,HIS.PAT_MASTER_INDEX,MTL.EPR_INPATIENT_DOCINDEX,16,16,INP_NO=P_INPATIENT_NO|P_INPATIENT_NO=INP_NO,Y,EMR_HOS_CHANGE_MAJOR_RECORD|V_EMR_ADMISSION_DEAD_RECORD_TF|V_EMR_ADMISSION_RECORD|V_EMR_DISCHARGE_RECORD|V_EMR_HOS_CHANGE_MAJOR_RECORD|V_EMR_HOS_DIFFIC_CASE_DISCUSS|V_EMR_HOS_DND_RECORD|V_EMR_HOS_POSTOPER_RECORD|V_EMR_HOS_SAVE_RECORD|V_EMR_HOS_SUCCESSION_RECORD|V_EMR_INFOR_CRITICALLY_ILL|V_EMR_INFOR_OPERATION|V_EMR_INFOR_OTHERS|V_EMR_INFOR_SPEC_EXAM_TREAT|V_EMR_MEDICAL_RECORD_INFO|V_EMR_OPERA_RECORD
HIS.DEPT_DICT <-> HIS.PAT_VISIT,HIS.DEPT_DICT,HIS.PAT_VISIT,15,29,ADT_ROOM_NO=DEPT_CODE|DEPT_ADMISSION_TO=DEPT_CODE|DEPT_CODE=ADT_ROOM_NO|DEPT_CODE=DEPT_ADMISSION_TO|DEPT_CODE=DEPT_DISCHARGE_FROM|DEPT_CODE=DISCHARGE_WARD_CODE|DEPT_DISCHARGE_FROM=DEPT_CODE|DISCHARGE_WARD_CODE=DEPT_CODE,Y,CDR_MEDICAL|PAT_VIEW|V_BI_ZYSS|V_EMR_ANESTHESIA_RECORD|V_EMR_BOFORE_OPERA_RECORD|V_EMR_DISCHARGE_RECORD|V_EMR_ICH|V_EMR_INFOR_ANESTHESIA|V_EMR_INFOR_TRANS_BLOOD|V_EMR_REFERRAL_HOS_RECORD|V_ESBHL_CHECK_ROD|V_ESBHL_INPUT_CASE_FIRP|V_ESBHL_INPUT_ROD|V_ESBHL_OPER_ROD|V_ESBHL_OUTPUT_SUMMARY
MTL.EMRSD_CONTENT <-> MTL.EPR_INPATIENT,MTL.EMRSD_CONTENT,MTL.EPR_INPATIENT,13,15,UHID=UHID|段落编号=ID,Y,EMR_HOS_CHANGE_MAJOR_RECORD|TJZRBL|V_EMR_ADMISSION_DEAD_RECORD_TF|V_EMR_ADMISSION_RECORD|V_EMR_DISCHARGE_RECORD|V_EMR_HOS_CHANGE_MAJOR_RECORD|V_EMR_HOS_POSTOPER_RECORD|V_EMR_HOS_PREOP_DISCUSS|V_EMR_HOS_SAVE_RECORD|V_EMR_HOS_SUCCESSION_RECORD|V_EMR_INFOR_CRITICALLY_ILL|V_EMR_INFOR_OPERATION|V_EMR_OPERA_RECORD
MTL.EMRSD_CONTENT <-> MTL.EPR_INPATIENT_DOCINDEX,MTL.EMRSD_CONTENT,MTL.EPR_INPATIENT_DOCINDEX,12,12,UHID=UHID,Y,EMR_HOS_CHANGE_MAJOR_RECORD|V_EMR_ADMISSION_RECORD|V_EMR_DISCHARGE_RECORD|V_EMR_HOS_CHANGE_MAJOR_RECORD|V_EMR_HOS_DIFFIC_CASE_DISCUSS|V_EMR_HOS_DND_RECORD|V_EMR_HOS_POSTOPER_RECORD|V_EMR_HOS_PREOP_DISCUSS|V_EMR_HOS_SAVE_RECORD|V_EMR_HOS_SUCCESSION_RECORD|V_EMR_INFOR_CRITICALLY_ILL|V_EMR_OPERA_RECORD
HIS.PAT_VISIT <-> HIS.STAFF_DICT,HIS.PAT_VISIT,HIS.STAFF_DICT,11,25,BLOOD_TYPE_CODE=BLOOD_TYPE|BLOOD_TYPE_CODE=BLOOD_TYPE_RH|DEPT_CODE=DOCTOR_OF_CONTROL_QUALITY|DEPT_CODE=NURSE_OF_CONTROL_QUALITY|EMP_NO=ADVANCED_STUDIES_DOCTOR|EMP_NO=ATTENDING_DOCTOR|EMP_NO=CATALOGER|EMP_NO=DIRECTOR|EMP_NO=DOCTOR_IN_CHARGE|EMP_NO=DUTY_NURSE|EMP_NO=PRACTICE_DOCTOR|EMP_NO=PRACTICE_DOCTOR_OF_GRADUATE|NAME=CATALOGER,Y,CDR_MEDICAL|INP_INFO114|V_EMR_ADMISSION_DEAD_RECORD_TF|V_EMR_ADMISSION_RECORD|V_EMR_DISCHARGE_RECORD|V_EMR_HOS_DIFFIC_CASE_DISCUSS|V_EMR_HOS_DND_RECORD|V_EMR_HOS_SAVE_RECORD|V_EMR_INFOR_OPERATION|V_EMR_REFERRAL_HOS_RECORD|V_ESBHL_INPUT_CASE_FIRP
HIS.DIAGNOSIS <-> HIS.PAT_VISIT,HIS.DIAGNOSIS,HIS.PAT_VISIT,11,22,DEPT_CODE=DEPT_ADMISSION_TO|DEPT_CODE=DISCHARGE_WARD_CODE|PATIENT_ID=PATIENT_ID|VISIT_ID=VISIT_ID,Y,CDR_MEDICAL_DIAG|EMR_DISCHARGE_RECORD_DIAGNOSIS|V_EMR_ADMISSION_DEAD_RECORD_TF|V_EMR_ADMISSION_DIAGNOSIS|V_EMR_DISCHARGE_RECORD|V_EMR_ICH_DIAGNOSIS|V_EMR_INFOR_CRITICALLY_ILL|V_EMR_OPERATION_NURSING|V_EMR_REFERRAL_HOS_RECORD|V_ESBHL_INPUT_CASE_FIRP|V_ESBHL_OUTPUT_SUMMARY
SM.MED_ANESTHESIA_PLAN <-> SM.MED_OPERATION_MASTER,SM.MED_ANESTHESIA_PLAN,SM.MED_OPERATION_MASTER,10,30,OPER_ID=OPER_ID|PATIENT_ID=PATIENT_ID|VISIT_ID=VISIT_ID,Y,CDR_OPERATION_VISIT|CDR_SURGICAL_RECORD|V_EMR_ANESTHESIA_RECORD|V_EMR_ANES_AFTER_RECORD|V_EMR_BOFORE_OPERA_RECORD|V_EMR_INFOR_ANESTHESIA|V_EMR_OPERATION_NURSING|V_ESBHL_AFT_ANE_VISIT_ROD|V_ESBHL_ANE_PREO_VISIT_ROD|V_ESBHL_ANE_ROD
HIS.PAT_VISIT <-> SM.MED_OPERATION_MASTER,HIS.PAT_VISIT,SM.MED_OPERATION_MASTER,9,17,PATIENT_ID=PATIENT_ID|VISIT_ID=VISIT_ID,Y,V_EMR_ANES_AFTER_RECORD|V_EMR_ANES_RECORD_MED|V_EMR_BOFORE_OPERA_RECORD|V_EMR_INFOR_ANESTHESIA|V_EMR_INFOR_OPERATION|V_EMR_OPERATION_NURSING|V_EMR_OPERA_RECORD|V_ESBHL_AFT_ANE_VISIT_ROD|V_ESBHL_ANE_PREO_VISIT_ROD
