source_db,source_owner,table_name,full_name,domain,table_role,include_status,exclude_reason,include_note,num_rows_stats,column_count,primary_key,ods_same_name_covered,ods_field_coverage_ratio
10.10.10.15:1521/his,COMM,DIAGNOSIS_DICT_TEMP,COMM.DIAGNOSIS_DICT_TEMP,诊断,excluded,excluded,临时/备份/测试表，第一版排除,,38145,33,,false,0
10.10.10.15:1521/his,COMM,DIAGNOSIS_JH,COMM.DIAGNOSIS_JH,诊断,dimension,included,,基础字典/维表,176113,6,,true,1.0
10.10.10.15:1521/his,COMM,DIAGNOSIS_TYPE1_DICT,COMM.DIAGNOSIS_TYPE1_DICT,诊断,dimension,included,,基础字典/维表,2,1,,false,0
10.10.10.15:1521/his,COMM,DIAGNOSIS_TYPE_DICT,COMM.DIAGNOSIS_TYPE_DICT,诊断,dimension,included,,基础字典/维表,12,6,DIAGNOSIS_TYPE_CODE,true,1.0
10.10.10.15:1521/his,COMM,DIAG_COMP_GROUP_DICT,COMM.DIAG_COMP_GROUP_DICT,诊断,dimension,included,,基础字典/维表,9,4,DIAG_COMP_GROUP_CODE,false,0
10.10.10.15:1521/his,COMM,DIAG_CORR_DICT,COMM.DIAG_CORR_DICT,诊断,dimension,included,,基础字典/维表,3,4,DIAG_CORR_CODE,false,0
10.10.10.15:1521/his,COMM,DICTMAINT,COMM.DICTMAINT,字典,dimension,included,,基础字典/维表,0,6,TABLE_NAME,false,0
10.10.10.15:1521/his,COMM,DICT_CXCONTENT,COMM.DICT_CXCONTENT,字典,dimension,included,,基础字典/维表,2,9,ID,false,0
10.10.10.15:1521/his,COMM,DICT_EXCEL_TEMPLATE,COMM.DICT_EXCEL_TEMPLATE,组织人员,excluded,excluded,临时/备份/测试表，第一版排除,,0,5,ID,false,0
10.10.10.15:1521/his,COMM,DIET_PROVIDER_DICT,COMM.DIET_PROVIDER_DICT,字典,dimension,included,,基础字典/维表,0,2,SECTION_CODE,false,0
10.10.10.15:1521/his,COMM,DISCHARGE_DISPOSITION_DICT,COMM.DISCHARGE_DISPOSITION_DICT,费用,dimension,included,,基础字典/维表,7,11,DISCHARGE_DISPOSITION_CODE,true,1.0
