system_code,source_code,schema_name,table_name,object_type,comment,column_count,pk,documented
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_first_page_diag_oper_fre,TABLE,病案首页-字典类-首页常用诊断手术字典,10,"item_code,item_name,oper_id,dept_id,item_class,hospital_no",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_first_page_item_dict,TABLE,病案首页-字典类-病案首页字典,19,"hospital_no,field_name,item_value",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_first_page_item_dict_0513,TABLE,,19,,False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_first_page_item_dict_bf,TABLE,,19,,False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_first_page_print,TABLE,病案首页-配置类-首页打印配置,12,"print_field_name,hospital_no",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_first_page_print_log,TABLE,病案首页-日志类-首页打印日志,10,"print_date,patient_id,visit_id,hospital_no",False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_first_page_qc_detail,TABLE,首页质控记明细,15,"validate_pk,hospital_no,validate_id,validate_date",False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_first_page_qc_feedback,TABLE,质控提交反馈,11,"patient_id,visit_id,user_id,feedback_date,message_info",False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_first_page_qc_index,TABLE,首页质控评分主索引,10,"validate_pk,patient_id,visit_id,validate_date,hospital_no",False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_first_page_qc_index_log,TABLE,首页评分质控记录表,10,"validate_pk,patient_id,visit_id,validate_date,hospital_no",False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_first_page_qc_repository,TABLE,【首】首页验证清单,34,"hospital_no,validate_code,validate_class_code,validate_item_code",False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_first_page_thirdsource,TABLE,病案首页-配置类-首页信息从第三方获取配置,13,configid,True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_first_page_thirdsource_log,TABLE,病案首页-日志类-记录首页获取第三方数据,7,"configid,patient_id,visit_id,hospital_no",False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_first_page_validate,TABLE,病案首页-配置类-首页校验质控,32,"validate_item,hospital_no,validate_id",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_first_page_validate_type,TABLE,病案首页-字典类-首页项目校验类别字典,2,validate_type_code,True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_inandout_classifysum,TABLE,旧版护理记录-业务类-患者出入量信息表,12,"patient_id,visit_id,file_no,hospital_no,inorout_name",False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_med_ref_chk_set,TABLE,上报卡管理-配置类-必填项校验设置,17,chk_id,False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_med_rep_def_condi,TABLE,上报卡管理-配置类-上报卡监测预设条件保存表,9,"condiautoid,condimasterid,hospital_no",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_med_rep_def_master,TABLE,"上报卡管理-配置类-上报卡监测预设条件保存主表
",6,"condimasterid,hospital_no",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_med_rep_file_elem,TABLE,上报卡管理-业务类-上报卡内容记录表,8,"patient_id,visit_id,file_name,elem_no",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_med_rep_fill_detail,TABLE,上报卡管理-配置类-上报卡模板中自动填充数据字段与元素对照表,4,"mr_code,elem_name",False
