from_table,to_table,relation_type,confidence,validation_level,validation_status,note
jhemr.pat_visit1,jhemr.v_hisshouye1,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_master_index,jhemr.v_admission_note,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit,jhemr.v_admission_note,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhfile.jhcdr_emr_data_element,jhemr.v_admission_note,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_diagnosis,jhemr.v_admission_note,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhfile.jhmr_file_content_dg,jhemr.v_admission_note,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.jhmr_file_index,jhemr.v_admission_note,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit,jhemr.v_birth_list,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhfile.jhmr_file_content_dg,jhemr.v_birth_list,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.jhmr_file_index,jhemr.v_birth_list,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit,jhemr.v_blws,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.dept_dict,jhemr.v_blws,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhfile.jhmr_file_content_text,jhemr.v_blws,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.jhmr_templet_class,jhemr.v_blws,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.jhmr_file_index,jhemr.v_blws,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.emr_first_page_item_dict,jhemr.v_cdaupload,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit,jhemr.v_cdaupload,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.jhmr_file_index,jhemr.v_cdaupload,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_master_index,jhemr.v_cdaupload,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_master_index,jhemr.v_cdaupload1,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.emr_first_page_item_dict,jhemr.v_cdaupload1,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit,jhemr.v_cdaupload1,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.dc_cda_uploadtask,jhemr.v_cdaupload1,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.dc_cda_fileuploadrecord,jhemr.v_cdaupload1,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_master_index,jhemr.v_cdaupload2,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.emr_first_page_item_dict,jhemr.v_cdaupload2,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit,jhemr.v_cdaupload2,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.dc_cda_uploadrecord,jhemr.v_cdaupload2,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.dc_cda_uploadtask,jhemr.v_cdaupload2,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.dc_cda_fileuploadrecord,jhemr.v_cdaupload2,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.emr_first_page_item_dict,jhemr.v_cdaupload_dhzd,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit,jhemr.v_cdaupload_dhzd,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.jhmr_file_index,jhemr.v_cdaupload_dhzd,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_master_index,jhemr.v_cdaupload_dhzd,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
report.r_pat_visit,jhemr.v_cdaupload_dhzd1,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_master_index,jhemr.v_cdaupload_dhzd1,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.v_cdaupload,jhemr.v_cdaupload_sg,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.v_cdaupload,jhemr.v_cdaupload_sgsb,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.dc_cda_uploadrecord,jhemr.v_cdaupload_sgsb,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.v_cdaupload,jhemr.v_cdauploadbc,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.dc_cda_uploadrecord,jhemr.v_cdauploadbc,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit,jhemr.v_cdauploadqsjj,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit,jhemr.v_cdss,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.dept_dict,jhemr.v_cdss,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit,jhemr.v_cdss_ba,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.dept_dict,jhemr.v_cdss_ba,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit,jhemr.v_cdss_init,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_diagnosis,jhemr.v_chuyuanzhenduan,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhfile.jhmr_file_content_text,jhemr.v_convert_all,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
