差异类型,系统,库名,Schema,表名,字段名,来源文件名称,文档内容,实际库内容,风险等级,建议处理,是否需要人工确认
文档中有但实际库没有的字段,HIS_SOURCE,his_ready_10_10_10_15,COMM,BILL_PATTERN_MASTER_COPY1,DEPT_CODE,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包存在字段,READY_HIS 未发现字段,高,确认字段是否删除/改名,是
文档中有但实际库没有的字段,HIS_SOURCE,his_ready_10_10_10_15,COMM,BILL_PATTERN_MASTER_COPY1,STOP_OPERATOR,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包存在字段,READY_HIS 未发现字段,高,确认字段是否删除/改名,是
文档中有但实际库没有的字段,HIS_SOURCE,his_ready_10_10_10_15,COMM,BILL_PATTERN_MASTER_COPY1,CREATE_DATE,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包存在字段,READY_HIS 未发现字段,高,确认字段是否删除/改名,是
文档中有但实际库没有的字段,HIS_SOURCE,his_ready_10_10_10_15,COMM,BILL_PATTERN_MASTER_COPY1,OPERATOR,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包存在字段,READY_HIS 未发现字段,高,确认字段是否删除/改名,是
文档中有但实际库没有的字段,HIS_SOURCE,his_ready_10_10_10_15,COMM,BILL_PATTERN_MASTER_COPY1,STOP_DATE,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包存在字段,READY_HIS 未发现字段,高,确认字段是否删除/改名,是
文档中有但实际库没有的字段,HIS_SOURCE,his_ready_10_10_10_15,COMM,BILL_PATTERN_MASTER_COPY1,TEMPLATE_TYPE,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包存在字段,READY_HIS 未发现字段,高,确认字段是否删除/改名,是
文档中有但实际库没有的字段,HIS_SOURCE,his_ready_10_10_10_15,COMM,BILL_PATTERN_MASTER_COPY1,SCOPE_USE,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包存在字段,READY_HIS 未发现字段,高,确认字段是否删除/改名,是
文档中有但实际库没有的字段,HIS_SOURCE,his_ready_10_10_10_15,COMM,BILL_PATTERN_MASTER_COPY1,USE_OPERATOR,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包存在字段,READY_HIS 未发现字段,高,确认字段是否删除/改名,是
文档中有但实际库没有的字段,HIS_SOURCE,his_ready_10_10_10_15,DRUG_USER,MED_CHECK_DETAIL_COPY1,RECORD_NO,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包存在字段,READY_HIS 未发现字段,高,确认字段是否删除/改名,是
文档中有但实际库没有的字段,HIS_SOURCE,his_ready_10_10_10_15,DRUG_USER,MED_CHECK_DETAIL_COPY1,ORG_CODE,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包存在字段,READY_HIS 未发现字段,高,确认字段是否删除/改名,是
文档中有但实际库没有的字段,HIS_SOURCE,his_ready_10_10_10_15,DRUG_USER,MED_CHECK_DETAIL_COPY1,CHECK_NO,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包存在字段,READY_HIS 未发现字段,高,确认字段是否删除/改名,是
文档中有但实际库没有的字段,HIS_SOURCE,his_ready_10_10_10_15,DRUG_USER,MED_CHECK_DETAIL_COPY1,STORE_CODE,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包存在字段,READY_HIS 未发现字段,高,确认字段是否删除/改名,是
文档中有但实际库没有的字段,HIS_SOURCE,his_ready_10_10_10_15,DRUG_USER,MED_CHECK_DETAIL_COPY1,DRUG_LOC,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包存在字段,READY_HIS 未发现字段,高,确认字段是否删除/改名,是
文档中有但实际库没有的字段,HIS_SOURCE,his_ready_10_10_10_15,DRUG_USER,MED_CHECK_DETAIL_COPY1,DRUG_PRI,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包存在字段,READY_HIS 未发现字段,高,确认字段是否删除/改名,是
文档中有但实际库没有的字段,HIS_SOURCE,his_ready_10_10_10_15,DRUG_USER,MED_CHECK_DETAIL_COPY1,BATCH_NO,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包存在字段,READY_HIS 未发现字段,高,确认字段是否删除/改名,是
文档中有但实际库没有的字段,HIS_SOURCE,his_ready_10_10_10_15,DRUG_USER,MED_CHECK_DETAIL_COPY1,EXPIRE_DATE,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包存在字段,READY_HIS 未发现字段,高,确认字段是否删除/改名,是
文档中有但实际库没有的字段,HIS_SOURCE,his_ready_10_10_10_15,DRUG_USER,MED_CHECK_DETAIL_COPY1,START_TIME,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包存在字段,READY_HIS 未发现字段,高,确认字段是否删除/改名,是
文档中有但实际库没有的字段,HIS_SOURCE,his_ready_10_10_10_15,DRUG_USER,MED_CHECK_DETAIL_COPY1,START_QUANTITY,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包存在字段,READY_HIS 未发现字段,高,确认字段是否删除/改名,是
